,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43222737674,1733593568033146177,Áo Khoác Nhung Budanh Dáng Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Cổ Điển Vintage Phong Cách Hàn Quốc ,400 479,,,Sản phẩm lẻ,Áo khoác khác,nhung budanh,509NU2_AKHD402_,509NU2_AKHD402_NA,https://cf.shopee.vn/file/vn-11134207-820l4-mjxlkn3n0ah125,,SP đang bán,Team A,Nhi + Dnhi,Đ. Yến,Mỹ Duyên,,,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Áo khoác da lộn ,,"- Chất liệu da lộn cao cấp 
- Form dáng rộng vừa phải phù hợp nhiều dáng người 
- Áo thiết kế khoá hợp kim mượt mà kết hợp cúc bấm dễ dàng tạo kiểu ",,,22,22,1,,,,,3/10,10/10,,,,,,,https://shopee.vn/product/574105684/43222737674,https://www.tiktok.com/view/product/1733593568033146177?region=VN&locale=vi-VN,,,,,
56102783469,1733459025389126977,Áo Dài Cách Tân AN LẠC Dáng Suông 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Chất Liệu Gấm Jacquard Cao Cấp Áo Dài Tết 2026,399 549,,,Tết Tết,Áo Dài,Gấm Jacquard hoạ tiết hoa mai,511GA1_ADL464_,"511GA1_ADL464_DO
511GA1_ADL464_HO
511GA1_ADL464_XB",https://cf.shopee.vn/file/vn-11134207-820l4-mie8wjibbqx0c4,,SP đang bán,Team A,Nhi + Dnhi,Thảo Ph,Khánh Huyền,"Áo đỏ - Quần đỏ - Khánh đỏ
Áo hồng - Quần xanh bơ - Khánh hồng
Áo xanh - Quần be - Khánh be",,"size 1: <m60, <86cm
size 2: <m70, <90cm
size 3: <m75, <95cm",,,"- Chất liệu: gấm nhăn cao cấp, thêu chìm hoạ tiết hoa đào lộng lẫy mà không phô trương , tinh xảo lại nữ tính, thanh lịch nhưng không kém phần sang trọng.
- Thiết kế cách tân cổ đứng, tay lửng, dáng suông thoải mái mà vẫn thanh lịch
- Chiều dài vừa phải giúp tỉ lệ dáng người cân đối hơn
- Màu sắc trendy nổi bật, tôn da
- Cúc trang trí mắt mèo
- Tặng kèm khánh cao cấp",,,,,1,,,,,,,,,,4-5/12,,,https://shopee.vn/product/574105684/56102783469,https://www.tiktok.com/view/product/1733459025389126977?region=VN&locale=vi-VN,,,,,
45551656256,1733641645556794689, Áo Khoác Da Cổ Lông Tách Rời Dày Dặn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Chần Bông Ấm Áp Phong Cách Retro AKHD473,459 509,,,Sản phẩm lẻ,Áo khoác khác,Da loang,511PU2_AKHD473_,511PU2_AKHD473_RE,https://cf.shopee.vn/file/vn-11134207-820l4-mjxw8zdpdr7n10,,SP đang bán,Team A,Nhi + Dnhi,Thảo Ph,Lan Hương,Nâu Rêu,," size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Áo da chần phao,,"- Chất liệu: Da loang
- Thiết kế: áo có cổ lông (tháo rời) cổ điển, trendy, form rộng vừa phải tôn dáng người mặc và giữ ấm tốt trong mùa đông
- Phong cách: cổ điển, đường phố",,,17,17,2,,,,,,,,,,,,,https://shopee.vn/product/574105684/45551656256,https://www.tiktok.com/view/product/1733641645556794689?region=VN&locale=vi-VN,,,,,
44219343668,,Áo Khoác Denim Wash Xanh Rêu 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Jean Zipper Cúc Bấm Phối Da Cá Tính,369 439,,,Sản phẩm lẻ,Áo khoác khác,kaki,509DE1_AKHD379_,509DE1_AKHD379_XA,#N/A,#N/A,SP huỷ mẫu,Team A,Nhi + Dnhi,,Lan Hương,Xanh rêu wash,,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Áo khoác jean phối da,,"- Chất liệu denim wash mềm, cao cấp.
- Hiệu ứng wash độc đáo, màu rêu trendy.
- Form boxy ngắn, tôn dáng.
- Thiết kế phối 2 chất liệu denim-da tạo điểm nhấn cho outfit. Áo có cả khoá zip và cúc bấm cá tính.",,,,,,,,,,,27/9,,,,,,,https://shopee.vn/product/574105684/44219343668,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
40122533706,,Áo Khoác Hoodie Zip Kaki 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Rộng Có Dây Rút Unisex Âu Mỹ ,400 479,,,Sản phẩm lẻ,Hoodie/ Hoodie zip,,509KA1_AKHD415_,,#N/A,,SP huỷ mẫu,Team A,Nhi + Dnhi,,Lan Hương,"Be 
",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Hoodie zip kaki,,"- Chất liệu kaki dày dặn, đứng form, dễ chịu cho người mặc.
- Form rộng unisex, có thể mặc như 1 chiếc áo khoác ngoài.
- Dây rút kaki là điểm nhấn.
- Màu áo trendy, dễ phối đồ.",,,,,,,,,,1/10,,,,,,,,https://shopee.vn/product/574105684/40122533706,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
43872850256,,Quần Nỉ Chân Cua Dây Rút Form Siêu Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Nỉ Nam Nữ Đường Phố Hàn Quốc,219 279,,,Sản phẩm lẻ,Quần dài ứng dụng,,509NI1_QED420_,,#N/A,,SP huỷ mẫu,Team A,Nhi + Dnhi,,Lan Hương,"xám tiêu
đen",,,Quần nỉ chân cua dây rút,,,,,,,,,,,,4/10,,,,,,,,https://shopee.vn/product/574105684/43872850256,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
41321353929,,Quần Jean Gập Gấu Caro 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Jean Ống Rộng Phong Cách Retro Preppy Cổ Điển ,229 300,,,Sản phẩm lẻ,Quần dài thời trang,denim x caro,509DE1_QTD359_,,#N/A,#N/A,SP huỷ mẫu,Team A,Nhi + Dnhi,,Khánh Huyền,Xanh raw,,,Quần Phối Gấu Caro,,"- Chất Liệu Denim Đứng fom 
- Màu xanh retro không quá sáng, dễ kết hợp với bbtee, phông, áo khoác
- Thiết kế ống đứng rộng rãi, phối gấu quần caro gấp và một túi sau là carro",,,,,,,,,,26/9 ,,,,,,,,https://shopee.vn/product/574105684/41321353929,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
40671302802,1733149399106749761,Quần Short Nhung Tăm Co Dãn Lông Cừu Cạp Trễ 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Short Ngắn Cá Tính Tôn Dáng ,"Không lông: 179/239
Có lông:199/259",298.5,388.5,Sản phẩm lẻ,Quần short thời trang,Nhung tăm,509NU2_QTN374_,"509NU2_QTN374_TR
509NU2_QTN374_NA",https://cf.shopee.vn/file/vn-11134207-820l4-mj7vsjiu90cjf6,,SP đang bán,Team B,Dương + Khanh,Mai Liên,Khánh Huyền,"Nâu
Trắng",,"size 1: <m62, <53kg
size 2: <m68, <58kg
size 3: <m75, <65kg
Note: Khách tham khảo số đo mông để chọn size phù hợp",quần short nhung tăm,,"- Quần short chất liệu nhung tăm cao cấp có co dãn dày dặn đứng fom 
- Chất liệu nhung tăm co dãn thoải mái vận động, không bai xù 
- Thiết kế phối cạp lông và miệng túi lông ấm áp nữ tính
- Quần dáng ngắn, ống loe chữ A giúp hách chân và tôn v3 
- Phối cúc kim loại ấn tượng cá tính
- Màu sắc trung tính ",,,"21
C mới : 19","21
Y mới : 19",Bản không lông và có lông nhưng tính là 1 bản,,,,,"SHP 25/9
SHP 29/10 pre order",,,,,8-9/11,,,https://shopee.vn/product/574105684/40671302802,https://www.tiktok.com/view/product/1733149399106749761?region=VN&locale=vi-VN,,,,,
44271253833,1732932351736317249,Quần Dài Caro Dày Dặn Thêu Logo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Dài Ống Rộng Unisex Nam Nữ ,289 349,,,Sản phẩm lẻ,Quần dài thời trang,flannel mặt nhung,508KE1_QTD350_,508KE1_QTD350_HT,#N/A,#N/A,Bán hết cắt mẫu,Team C,Trang + Đỗ Nguyên,Thảo Ph,Khánh Huyền,Kẻ Nâu,,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <70kg
Note: Khách tham khảo số đo mông để chọn size phù hợp",Quần kẻ carro FW,,"- Quần kẻ caro chất liệu dạ mềm nhưng không mất fom
- Dáng rộng, ống to, tôn vòng 3
- Phối cạp trắng thời trang ",,,18,18,1,,2D.QTD350,,,,,,,,10-11/10,,,https://shopee.vn/product/574105684/44271253833,https://www.tiktok.com/view/product/1732932351736317249?region=VN&locale=vi-VN,,,,,
41071258048,,Áo Sweater Lông Cáo Cổ Sơ Mi 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Sweater Form Boxy Dày Dặn Phong Cách Học Đường Cổ Điển ,250 300,,,Sản phẩm lẻ,Sweater,nỉ 2 da,508NI1_ASWD352_,,#N/A,#N/A,SP huỷ mẫu,Team D,Bình + Nghĩa,,Khánh Huyền,"Đỏ 
Xám tiêu",,,Áo SWT Phối cổ Carro,,"- Áo SWT Chất liệu nỉ lông cáo dày dặn mịn tay
- Thiết kế phối cổ và tà áo sơ mi phong cách preepy thanh lịch  mà vẫn năng động
- Màu sắc trendy, cá tính",,,,,,,,,,SHP: 25/9,,,,,,,,https://shopee.vn/product/574105684/41071258048,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
41622532474,,Hoodie Wash Nỉ Bông 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Hàn Quốc Năng Động Cho Nữ,300 369,,,Sản phẩm lẻ,Hoodie/ Hoodie zip,nỉ chân cua/ nỉ 2 da,nỉ chân cua/ nỉ 2 da,,#N/A,#N/A,SP huỷ mẫu,Team C,Trang + Đỗ Nguyên,,Khánh Huyền,Xanh Wash,,,Áo hoodie wash,,"- Hoodie Wash được xử lý màu công nghệ cao
- Phong cách cá tính năng động, thời trang
- Áo có khoá zip đa năng và hình in chất lượng cao thân trước",,,,,,,,,, ,,,,,,,,https://shopee.vn/product/574105684/41622532474,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
43172724815,1733619491001238849,Quần Kaki Ống Rộng  𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Đính Đinh Tán Phong Cách Retro Cá Tính,279 349,,,Sản phẩm lẻ,Quần dài thời trang,gió/ kaki,509KA1_QTD406_,"509KA1_QTD406_DE
509KA1_QTD406_BE",https://cf.shopee.vn/file/vn-11134207-81ztc-mk7v1p5ewlq80b,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Khánh Huyền,"Đen 
Be",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Quần khaki đinh tán 2,,"- Chất Liệu Kaki ô vuông đứng fom dày dặn
- Màu sắc trung tính ứng dụng cao
- Thân quần có túi hộp đa năng cá tính phong cách 
- Thiết kế dáng rộng vừa, đinh tán đính ở miệng túi",,,25,25,1,,,,,SHP: 3/10,,,,,22-23/12,,,https://shopee.vn/product/574105684/43172724815,https://www.tiktok.com/view/product/1733619491001238849?region=VN&locale=vi-VN,,,,,
42472531137,,Áo Phao Chần Bông Da Lộn Cổ Điển 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Siêu Ấm Mùa Đông 2 Lớp Nam Nữ,400 479,,,Sản phẩm lẻ,Áo phao,,509DL2_AKHD410_,,#N/A,#N/A,SP huỷ mẫu,Team A,Nhi + Dnhi,,Lan Hương,Nâu mocha,,,Áo phao da lộn,,"- Chất liệu đặc biệt - da lộn
- Form áo boxy trendy, unisex nam nữ.
- Chần bông siêu ấm áp ngay cả thời tiết khắc nghiệt.",,,,,,,,,,1/10,,,,,,,,https://shopee.vn/product/574105684/42472531137,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
41072548358,,Áo Khoác Denim Cổ Nhung Tăm Form Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Jean Basic Phong Cách Đường Phố AKHD411 ,269 339,,,Sản phẩm lẻ,Áo khoác khác,,509DE1_AKHD411_,,#N/A,#N/A,SP huỷ mẫu,Team B,Dương + Khanh,,Lan Hương,"Xanh đậm
Xanh nhạt",,,Áo khoác jean phối cổ ,,"- Phối 2 chất liệu: Denim - Nhung tăm.
- Dáng rộng unisex nam nữ
- Đây là sự kết hợp 2 trend của mùa đông: phối chất liệu & màu nâu trendy.",,,,,,,,,,SHP TEST 2/10,,,,,,,,https://shopee.vn/product/574105684/41072548358,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
43672541783,,Áo Trench Coat 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Cổ Cao Chất Liệu Da Lộn Tay Đai Thời Trang Thu Đông ,400 479,,,Sản phẩm lẻ,Áo khoác khác,da lộn,509DL2_AKHD422_,,https://cf.shopee.vn/file/vn-11134207-820l4-mfb0fc35sqvf45,,SP huỷ mẫu,Team C,Trang + Đỗ Nguyên,,Khánh Huyền,"Xanh Rêu
Nâu",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Áo Da Cổ Đứng,," - Áo Khoác Chất Liệu Da Lộn dày dặn ấm áp
- Phong Cách Nữ Tính Thời trang
- Màu sắc Nâu, Rêu trendy của năm
- Vạt áo thân trước ấn tượng, Thiết kế cổ dựng thời trang, có đai ở gấu áo có thể tuỳ chỉnh",,,,,,,,,,,,,,,,,,https://shopee.vn/product/574105684/43672541783,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
43172629455,,[Màu Mới] Quần Jean Ống Rộng Loang Màu 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Jean Cá Tính Bụi Bặm ,239 289,,        ,Sản phẩm lẻ,Quần dài thời trang,,509DE1_QTD414_,,#N/A,#N/A,SP huỷ mẫu,Team D,Bình + Nghĩa,,Lan Hương,Xanh wash,,,Quần jean hiệu ứng,,"- Chất liệu denim dày dặn, mềm mịn, thoải mái khi mặc.
- Màu sắc loang wash mới lạ, đặc biệt.
- Form rộng trendy.
",,,,,,,,,,SHP: 2/10,,,,,,,,https://shopee.vn/product/574105684/43172629455,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
40522544154,,Quần Yếm Suông Dáng Dài Nhung Tăm 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Cách Điệu Cá Tính Cho Nữ QTD394,369 439,,,Sản phẩm lẻ,Quần dài thời trang,,509NU1_QTD394_,TẠO CAMP ADS SHP MỚI 6/10,#N/A,#N/A,SP huỷ mẫu,Team B,Dương + Khanh,,Mỹ Duyên,Xanh,,,yếm,,"- Chất liệu nhung tăm mềm mịn, đứng form.
- Form dáng rộng vừa phải. 
- Quần phối cúc ở hông để dễ dàng sử dụng. ",,,,,,,,,,SHP TEST 2/10,,,,,,,,https://shopee.vn/product/574105684/40522544154,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
43922537454,,Quần Kaki Ống Cong 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Túi Quần Thêu Nổi Cá Tính,250 300,,,Sản phẩm lẻ,Quần dài thời trang,kaki,509KA1_QTD396_,,https://cf.shopee.vn/file/vn-11134207-820l4-mfaxfei23mrzba,,SP huỷ mẫu,Team C,Trang + Đỗ Nguyên,,Mỹ Duyên,,,,Quần thêu túi trước,,"- Chất liệu kaki dày dặn đứng form. 
- Phối túi đằng trước kết hợp thêu chỉn chu.",,,,,,,,,,,,,,,,,,https://shopee.vn/product/574105684/43922537454,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
26142502978,,Quần Jean Dáng Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Sọc Trendy,250 300,,,Sản phẩm lẻ,Quần dài thời trang,jean,509DE1_QTD395_,,#N/A,#N/A,SP huỷ mẫu,Team D,Bình + Nghĩa,,Mỹ Duyên,,,,Quần jean phối sọc,,"- Chất liệu denim wash. 
- Form dáng cong, rộng hack dáng. 
- Phối đường line sọc thể thao cá tính. 
",,,,,,,,,,SHP: 2/10,,,,,,,,https://shopee.vn/product/574105684/26142502978,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
27242491767,,Áo Nỉ Trễ Vai Phối Kẻ Caro 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Năng Động Thoải Mái Cho Nữ,239 279,,,Sản phẩm lẻ,Áo Kiểu,,509NI2_AKD397_,,#N/A,#N/A,SP huỷ mẫu,Team A,Nhi + Dnhi,,Mỹ Duyên,,,,Áo nỉ trễ vai phối vải kẻ,,"- Chất liệu nỉ lông cáo dày dặn, mềm mịn. 
- Thiết kế dáng áo trễ vai phối caro làm điểm xuyết. 
- Hình thêu chỉn chu, sắc nét.",,,,,,,,,,1/10,,,,,,,,https://shopee.vn/product/574105684/27242491767,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
44022548708,1733404044580259137,Quần Nỉ Chân Cua Phối Line 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Chất Liệu Dày Dặn Đường Line Cá Tính QTD399,229 279,,,Sản phẩm lẻ,Quần dài thời trang,nỉ chân cua,509NI1_QTD399_,"509NI1_QTD399_DE
509NI1_QTD399_TĐ",https://cf.shopee.vn/file/vn-11134207-820l4-mj9rw23qew3pde,,SP đang bán,Team B,Dương + Khanh,Thảo Ng,Mỹ Duyên,"Đen
Xám",," size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Quần nỉ chân cua phối line,,"- Chất liệu: nỉ chân cua dày dặn
- Thiết kế: Cạp chun bản to, co giãn tốt, có dây rút điều chỉnh chính giữa.
Thiết kế đường line chéo cong nhẹ chạy dọc thân quần, tạo hiệu ứng phá cách, độc đáo hơn.
Đường may nổi (top-stitch) khiến quần có vibe streetwear – sporty.
- Form dáng rộng dài vừa vặn tôn dáng 
- Phong cách: Năng động, đường phố, cá tính",,,17,17,1,,,,,"SHP TEST 2/10
TEST LẠI KHÔNG LOANG 11/11",,,,,1-2/12 ,,,https://shopee.vn/product/574105684/44022548708,https://www.tiktok.com/view/product/1733404044580259137?region=VN&locale=vi-VN,,,,,
43422537884,1733520077760529729,Áo Khoác Kaki Dáng Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Đinh Tán Cá Tính,300 359,,,Sản phẩm lẻ,Áo khoác khác,kaki/ canvas,509KA2_AKHD400_,"509KA2_AKHD400_TR 
",https://cf.shopee.vn/file/vn-11134207-820l4-mia0qenxo45j7a,,SP đang bán,Team C,Trang + Đỗ Nguyên,Đ. Yến,Mỹ Duyên,Trắng,," size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Áo khoác kaki dáng lửng đinh tán ,,"- Chất liệu kaki dày dặn , đứng form 
- Form dáng ngắn vừa vặn, tôn dáng 
- Thiết kế phối đinh tán cá tính, trendy của năm 
- Khoá hợp kim mượt mà không hoen gỉ",,,22,22,1,,,,,,,,,,5/12/2025,,,https://shopee.vn/product/574105684/43422537884,https://www.tiktok.com/view/product/1733520077760529729?region=VN&locale=vi-VN,,,,,
48402025422,1733335168066356545,Quần Jean Đinh Tán Ống Đứng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Chất Liệu Denim Dày Dặn Tôn Dáng ,250 300,,,Sản phẩm lẻ,Quần dài thời trang,denim,509DE1_QTD401_,509DE1_QTD401_DE_,https://cf.shopee.vn/file/vn-11134207-820l4-mi5m44n94r9i74,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Mỹ Duyên,,," size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <65kg",Quần jean phối đinh tán,,"- Chất liệu denim raw trendy 
- Form dáng dài rộng vừa phải tôn dáng 
- Quần phối đinh tán hình tròn và hình ngôi sao cá tính ",,,22,22,1,,,,,SHP: 2/10,22/10,,,,,,,https://shopee.vn/product/574105684/48402025422,https://www.tiktok.com/view/product/1733335168066356545?region=VN&locale=vi-VN,,,,,
41172549215,,Quần Kaki Dày Dặn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Dáng Rộng Đính Đinh Tán Cá Tính QTD408,250 300,375,,Sản phẩm lẻ,Quần dài thời trang,,509KA1_QTD408_,,#N/A,#N/A,SP huỷ mẫu,Team B,Dương + Khanh,,Khánh Huyền,"đen
nâu",,,Quần Khaki đinh tán,,"- Chất Liệu Khaki mềm đứng fom dày dặn
- Màu sắc trung tính ứng dụng cao
- Thân quần có đường line cá tính ấn tượng
- Thiết kế dáng rộng vừa, đinh tán đính ở đường line ",,,,,,,,,,SHP TEST 2/10,,,,,,,,https://shopee.vn/product/574105684/41172549215,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
,,Quần Short Nhung Tăm Co Dãn Cạp Trễ 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Quần Short Ngắn Cá Tính Tôn Dáng QTN423,179 239,268.5,358.5,Sản phẩm lẻ,Quần short ứng dụng,Nhung tăm,509NU1_QTN423_,"509NU2_QTN423_TR
509NU2_QTN423_NA",#N/A,,SP huỷ mẫu,Team B,Dương + Khanh,,Khánh Huyền,"Nâu 
Trắng",,,Quần short nhung tăm,,"- Chất liệu nhung tăm co dãn mềm mịn, đứng form.
- Form dáng ngắn rộng vừa phải. 
- Phong cách năng động cá tính ",,,,,,,,,,SHP TEST 2/10,,,,,3-4/11,,,https://shopee.vn/product/574105684/,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
44223533529,,Áo Hoodie Zip Da Lộn Dáng Ngắn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Nỉ Croptop Double Zip  ,300 379,,,Sản phẩm lẻ,Hoodie/ Hoodie zip,da lộn,509DL2_AHOD385_,,#N/A,#N/A,SP huỷ mẫu,Team C,Trang + Đỗ Nguyên,,Mỹ Duyên,"xanh rêu
",,,Áo hoodie kaki dáng ngắn,,"- Chất liệu kaki mềm vừa phải, đứng form 
- Ấo thiết kiết dáng ngắn trendy năng động, phối khoá hợp kim bền bỉ mượt mà
- Phong cách năng động cá tính",,,,,,,,,,,,,,,,,,https://shopee.vn/product/574105684/44223533529,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
42072647967,,Áo Khoác Dạ Cổ Lông 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Nữ 2 Lớp Đính Cúc Phong Cách Hàn Quốc,339 400,,,Sản phẩm lẻ,Áo khoác khác,,509NU2_AKHD416_,,#N/A,#N/A,SP huỷ mẫu,Team D,Bình + Nghĩa,,Lan Hương,"xanh navy
be nâu",,,Áo dạ cổ lông,, ,,,,,,,,,,SHP: 3/10,,,,,,,,https://shopee.vn/product/574105684/42072647967,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
41372599150,,Quần Jean Wash Màu In Chữ 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Rộng Năng Động Cá Tính,239 300,,,Sản phẩm lẻ,Quần dài thời trang,denim,509DE1_QTD419_,TẠO CAMP ADS SHP MỚI 6/10,#N/A,#N/A,SP huỷ mẫu,Team B,Dương + Khanh,,Lan Hương,xanh nhạt ,,,Quần jean chữ,,,,,,,,,,,,SHP TEST 2/10,,,,,,,,https://shopee.vn/product/574105684/41372599150,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
56450089794,1733605596921365825,Áo Phao Phồng Cổ Da 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Phao Chần Bông Nhẹ Siêu Ấm Cá Tính Đường Phố,359 439,,,Sản phẩm lẻ,Áo phao,"gió chần bông 
x cổ da
",510GI2_AKHD435_,"510GI2_AKHD435_BE
510GI2_AKHD435_HO",https://cf.shopee.vn/file/vn-11134207-820l4-micuehnqve9s79,,SP Không Tái,Team C,Trang + Đỗ Nguyên,Thảo Ng,Khánh Huyền,"Be
Hồng",,"size 1: <m65, <55kg
size 2: <m70, <60kg
size 3: <m75, <70kg",Áo phao cổ da,,"- Chất liệu: gió chần bông - siêu ấm.
- Thiết kế: Phối cổ da - trendy năm nay, đơn giản nhưng vẫn độc đáo, khác biệt; logo da matching với cổ áo.
- Form dáng: Form ngắn boxy, tôn dáng, áo hơi phồng nhẹ.
- Phong cách: hàn quốc, basic",,,25,25,1,,,,,,,,,,"hồng 13-14/12
be 17-18/12",,,https://shopee.vn/product/574105684/56450089794,https://www.tiktok.com/view/product/1733605596921365825?region=VN&locale=vi-VN,,,,,
49100299204,,Áo Khoác Denim Cổ Lông Tháo Rời 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác Jean Nữ Tính Retro,359 439,,,Sản phẩm lẻ,Áo khoác khác,denim x cổ lông,510DE1_AKHD426_,,#N/A,#N/A,SP huỷ mẫu,Team D,Bình + Nghĩa,,Lan Hương,,,,Áo khoác denim cổ lông,,"- Chất liệu: Denim
- Thiết kế: Phối cổ lông - có thể tháo rời để thuận tiện cho việc làm sạch áo.
- Form dáng: Dáng fit trendy 
- Phong cách: Retro, nữ tính",,,,,,,,,,SHP: 29/10,,,,,,,,https://shopee.vn/product/574105684/49100299204,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
57150143059,,Áo Khoác Canvas Túi Chéo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Khoác 2 Lớp Đứng Form Dày Dặn Phối Cổ Nhung Tăm ,250 300,,,Sản phẩm lẻ,Áo khoác khác,"canvas x cổ nhung tăm
",510CA2_AKHD436_,,#N/A,#N/A,SP huỷ mẫu,Team A,Nhi + Dnhi,,Lan Hương,,,,Áo canvas túi chéo,,"- Chất liệu: Canvas - đứng form
- Thiết kế: Phối cổ nhung tăm, túi chéo năng động.
- Form dáng: Form ngắn, fit người, tôn tỉ lệ cơ thể.
- Phong cách: tối giản, năng động, basic",,,,,,,,,,25/10,,,,,,,,https://shopee.vn/product/574105684/57150143059,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
51850092404,,Áo Nỉ Cổ Polo Phối 2 Màu 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Áo Sweater Form Rộng Vintage Cá Tính ,279 359,,,Sản phẩm lẻ,Polo,nỉ 2 da/ nỉ lông cáo ,5102D1_APD427_,,#N/A,#N/A,SP huỷ mẫu,Team B,Dương + Khanh,,Lan Hương,,,,Ảnh đã chỉnh,,"- Chất liệu: Nỉ 2 da/ Nỉ lông cáo (bản pre)
- Thiết kế: Cổ polo phối 2 màu tương phản cao, tạo sự thú vị trong thiết kế
Bo gấu là dây rút 2 bên
- Form dáng: Form rộng oversize
- Phong cách: Retro, năng động, đường phố",,,,,,,,,,SHP TEST 28/10,,,,,,,,https://shopee.vn/product/574105684/51850092404,https://www.tiktok.com/view/product/?region=VN&locale=vi-VN,,,,,
